,Name,Score,Category,Price_Range,Price_Range_encoded,Category_encoded
0,1. شاهي ابو وليد,9.5,Café,$,0,8
1,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
2,3. دوّار السّعادة,9.4,Breakfast,$,0,5
3,4. McDonald's,9.4,Fast Food,$$,1,12
4,5. SHiRO,9.3,Japanese,$$$,2,19
5,6. Lavash,9.3,Armenian,$,0,1
6,7. Café Lilou,9.3,French,$,0,15
7,8. Burger Hunch,9.3,Burgers,$$$,2,7
8,9. KAIF,9.3,Café,$,0,8
9,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
10,11. Red Box,9.2,Restaurant,$,0,25
11,12. White Cafe,9.2,Café,$,0,8
12,13. Al Hatab Bakery,9.2,Bakery,$,0,4
13,14. TF BAKERY,9.2,Bakery,$,0,4
14,15. PICKUP,9.2,Burgers,$,0,7
15,16. Baōdo,9.2,Burgers,$,0,7
16,17. الشاي العراقي,9.2,Food Truck,$,0,14
17,18. SORS,9.1,Bakery,$,0,4
18,19. MUNAT Café,9.1,Café,$,0,8
19,20. TOFAREYA,9.1,Restaurant,$,0,25
20,21. The California Burger,9.1,Burgers,$,0,7
21,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
22,23. SCRMY,9.1,Café,$$,1,8
23,24. Boga,9.1,Salad,$$$$,3,26
24,25. The Coffee Address,9.1,Café,$,0,8
25,26. Key,9.1,Café,$,0,8
26,1. شاهي ابو وليد,9.5,Café,$,0,8
27,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
28,3. دوّار السّعادة,9.4,Breakfast,$,0,5
29,4. McDonald's,9.4,Fast Food,$$,1,12
30,5. SHiRO,9.3,Japanese,$$$,2,19
31,6. Lavash,9.3,Armenian,$,0,1
32,7. Café Lilou,9.3,French,$,0,15
33,8. Burger Hunch,9.3,Burgers,$$$,2,7
34,9. KAIF,9.3,Café,$,0,8
35,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
36,11. Red Box,9.2,Restaurant,$,0,25
37,12. White Cafe,9.2,Café,$,0,8
38,13. Al Hatab Bakery,9.2,Bakery,$,0,4
39,14. TF BAKERY,9.2,Bakery,$,0,4
40,15. PICKUP,9.2,Burgers,$,0,7
41,16. Baōdo,9.2,Burgers,$,0,7
42,17. الشاي العراقي,9.2,Food Truck,$,0,14
43,18. SORS,9.1,Bakery,$,0,4
44,19. MUNAT Café,9.1,Café,$,0,8
45,20. TOFAREYA,9.1,Restaurant,$,0,25
46,21. The California Burger,9.1,Burgers,$,0,7
47,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
48,23. SCRMY,9.1,Café,$$,1,8
49,24. Boga,9.1,Salad,$$$$,3,26
50,25. The Coffee Address,9.1,Café,$,0,8
51,26. Key,9.1,Café,$,0,8
52,1. شاهي ابو وليد,9.5,Café,$,0,8
53,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
54,3. دوّار السّعادة,9.4,Breakfast,$,0,5
55,4. McDonald's,9.4,Fast Food,$$,1,12
56,5. SHiRO,9.3,Japanese,$$$,2,19
57,6. Lavash,9.3,Armenian,$,0,1
58,7. Café Lilou,9.3,French,$,0,15
59,8. Burger Hunch,9.3,Burgers,$$$,2,7
60,9. KAIF,9.3,Café,$,0,8
61,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
62,11. Red Box,9.2,Restaurant,$,0,25
63,12. White Cafe,9.2,Café,$,0,8
64,13. Al Hatab Bakery,9.2,Bakery,$,0,4
65,14. TF BAKERY,9.2,Bakery,$,0,4
66,15. PICKUP,9.2,Burgers,$,0,7
67,16. Baōdo,9.2,Burgers,$,0,7
68,17. الشاي العراقي,9.2,Food Truck,$,0,14
69,18. SORS,9.1,Bakery,$,0,4
70,19. MUNAT Café,9.1,Café,$,0,8
71,20. TOFAREYA,9.1,Restaurant,$,0,25
72,21. The California Burger,9.1,Burgers,$,0,7
73,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
74,23. SCRMY,9.1,Café,$$,1,8
75,24. Boga,9.1,Salad,$$$$,3,26
76,25. The Coffee Address,9.1,Café,$,0,8
77,26. Key,9.1,Café,$,0,8
78,1. شاهي ابو وليد,9.5,Café,$,0,8
79,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
80,3. دوّار السّعادة,9.4,Breakfast,$,0,5
81,4. McDonald's,9.4,Fast Food,$$,1,12
82,5. SHiRO,9.3,Japanese,$$$,2,19
83,6. Lavash,9.3,Armenian,$,0,1
84,7. Café Lilou,9.3,French,$,0,15
85,8. Burger Hunch,9.3,Burgers,$$$,2,7
86,9. KAIF,9.3,Café,$,0,8
87,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
88,11. Red Box,9.2,Restaurant,$,0,25
89,12. White Cafe,9.2,Café,$,0,8
90,13. Al Hatab Bakery,9.2,Bakery,$,0,4
91,14. TF BAKERY,9.2,Bakery,$,0,4
92,15. PICKUP,9.2,Burgers,$,0,7
93,16. Baōdo,9.2,Burgers,$,0,7
94,17. الشاي العراقي,9.2,Food Truck,$,0,14
95,18. SORS,9.1,Bakery,$,0,4
96,19. MUNAT Café,9.1,Café,$,0,8
97,20. TOFAREYA,9.1,Restaurant,$,0,25
98,21. The California Burger,9.1,Burgers,$,0,7
99,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
100,23. SCRMY,9.1,Café,$$,1,8
101,24. Boga,9.1,Salad,$$$$,3,26
102,25. The Coffee Address,9.1,Café,$,0,8
103,26. Key,9.1,Café,$,0,8
104,1. شاهي ابو وليد,9.5,Café,$,0,8
105,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
106,3. دوّار السّعادة,9.4,Breakfast,$,0,5
107,4. McDonald's,9.4,Fast Food,$$,1,12
108,5. SHiRO,9.3,Japanese,$$$,2,19
109,6. Lavash,9.3,Armenian,$,0,1
110,7. Café Lilou,9.3,French,$,0,15
111,8. Burger Hunch,9.3,Burgers,$$$,2,7
112,9. KAIF,9.3,Café,$,0,8
113,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
114,11. Red Box,9.2,Restaurant,$,0,25
115,12. White Cafe,9.2,Café,$,0,8
116,13. Al Hatab Bakery,9.2,Bakery,$,0,4
117,14. TF BAKERY,9.2,Bakery,$,0,4
118,15. PICKUP,9.2,Burgers,$,0,7
119,16. Baōdo,9.2,Burgers,$,0,7
120,17. الشاي العراقي,9.2,Food Truck,$,0,14
121,18. SORS,9.1,Bakery,$,0,4
122,19. MUNAT Café,9.1,Café,$,0,8
123,20. TOFAREYA,9.1,Restaurant,$,0,25
124,21. The California Burger,9.1,Burgers,$,0,7
125,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
126,23. SCRMY,9.1,Café,$$,1,8
127,24. Boga,9.1,Salad,$$$$,3,26
128,25. The Coffee Address,9.1,Café,$,0,8
129,26. Key,9.1,Café,$,0,8
130,1. شاهي ابو وليد,9.5,Café,$,0,8
131,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
132,3. دوّار السّعادة,9.4,Breakfast,$,0,5
133,4. McDonald's,9.4,Fast Food,$$,1,12
134,5. SHiRO,9.3,Japanese,$$$,2,19
135,6. Lavash,9.3,Armenian,$,0,1
136,7. Café Lilou,9.3,French,$,0,15
137,8. Burger Hunch,9.3,Burgers,$$$,2,7
138,9. KAIF,9.3,Café,$,0,8
139,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
140,11. Red Box,9.2,Restaurant,$,0,25
141,12. White Cafe,9.2,Café,$,0,8
142,13. Al Hatab Bakery,9.2,Bakery,$,0,4
143,14. TF BAKERY,9.2,Bakery,$,0,4
144,15. PICKUP,9.2,Burgers,$,0,7
145,16. Baōdo,9.2,Burgers,$,0,7
146,17. الشاي العراقي,9.2,Food Truck,$,0,14
147,18. SORS,9.1,Bakery,$,0,4
148,19. MUNAT Café,9.1,Café,$,0,8
149,20. TOFAREYA,9.1,Restaurant,$,0,25
150,21. The California Burger,9.1,Burgers,$,0,7
151,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
152,23. SCRMY,9.1,Café,$$,1,8
153,24. Boga,9.1,Salad,$$$$,3,26
154,25. The Coffee Address,9.1,Café,$,0,8
155,26. Key,9.1,Café,$,0,8
156,1. شاهي ابو وليد,9.5,Café,$,0,8
157,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
158,3. دوّار السّعادة,9.4,Breakfast,$,0,5
159,4. McDonald's,9.4,Fast Food,$$,1,12
160,5. SHiRO,9.3,Japanese,$$$,2,19
161,6. Lavash,9.3,Armenian,$,0,1
162,7. Café Lilou,9.3,French,$,0,15
163,8. Burger Hunch,9.3,Burgers,$$$,2,7
164,9. KAIF,9.3,Café,$,0,8
165,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
166,11. Red Box,9.2,Restaurant,$,0,25
167,12. White Cafe,9.2,Café,$,0,8
168,13. Al Hatab Bakery,9.2,Bakery,$,0,4
169,14. TF BAKERY,9.2,Bakery,$,0,4
170,15. PICKUP,9.2,Burgers,$,0,7
171,16. Baōdo,9.2,Burgers,$,0,7
172,17. الشاي العراقي,9.2,Food Truck,$,0,14
173,18. SORS,9.1,Bakery,$,0,4
174,19. MUNAT Café,9.1,Café,$,0,8
175,20. TOFAREYA,9.1,Restaurant,$,0,25
176,21. The California Burger,9.1,Burgers,$,0,7
177,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
178,23. SCRMY,9.1,Café,$$,1,8
179,24. Boga,9.1,Salad,$$$$,3,26
180,25. The Coffee Address,9.1,Café,$,0,8
181,26. Key,9.1,Café,$,0,8
182,1. شاهي ابو وليد,9.5,Café,$,0,8
183,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
184,3. دوّار السّعادة,9.4,Breakfast,$,0,5
185,4. McDonald's,9.4,Fast Food,$$,1,12
186,5. SHiRO,9.3,Japanese,$$$,2,19
187,6. Lavash,9.3,Armenian,$,0,1
188,7. Café Lilou,9.3,French,$,0,15
189,8. Burger Hunch,9.3,Burgers,$$$,2,7
190,9. KAIF,9.3,Café,$,0,8
191,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
192,11. Red Box,9.2,Restaurant,$,0,25
193,12. White Cafe,9.2,Café,$,0,8
194,13. Al Hatab Bakery,9.2,Bakery,$,0,4
195,14. TF BAKERY,9.2,Bakery,$,0,4
196,15. PICKUP,9.2,Burgers,$,0,7
197,16. Baōdo,9.2,Burgers,$,0,7
198,17. الشاي العراقي,9.2,Food Truck,$,0,14
199,18. SORS,9.1,Bakery,$,0,4
200,19. MUNAT Café,9.1,Café,$,0,8
201,20. TOFAREYA,9.1,Restaurant,$,0,25
202,21. The California Burger,9.1,Burgers,$,0,7
203,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
204,23. SCRMY,9.1,Café,$$,1,8
205,24. Boga,9.1,Salad,$$$$,3,26
206,25. The Coffee Address,9.1,Café,$,0,8
207,26. Key,9.1,Café,$,0,8
208,1. شاهي ابو وليد,9.5,Café,$,0,8
209,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
210,3. دوّار السّعادة,9.4,Breakfast,$,0,5
211,4. McDonald's,9.4,Fast Food,$$,1,12
212,5. SHiRO,9.3,Japanese,$$$,2,19
213,6. Lavash,9.3,Armenian,$,0,1
214,7. Café Lilou,9.3,French,$,0,15
215,8. Burger Hunch,9.3,Burgers,$$$,2,7
216,9. KAIF,9.3,Café,$,0,8
217,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
218,11. Red Box,9.2,Restaurant,$,0,25
219,12. White Cafe,9.2,Café,$,0,8
220,13. Al Hatab Bakery,9.2,Bakery,$,0,4
221,14. TF BAKERY,9.2,Bakery,$,0,4
222,15. PICKUP,9.2,Burgers,$,0,7
223,16. Baōdo,9.2,Burgers,$,0,7
224,17. الشاي العراقي,9.2,Food Truck,$,0,14
225,18. SORS,9.1,Bakery,$,0,4
226,19. MUNAT Café,9.1,Café,$,0,8
227,20. TOFAREYA,9.1,Restaurant,$,0,25
228,21. The California Burger,9.1,Burgers,$,0,7
229,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
230,23. SCRMY,9.1,Café,$$,1,8
231,24. Boga,9.1,Salad,$$$$,3,26
232,25. The Coffee Address,9.1,Café,$,0,8
233,26. Key,9.1,Café,$,0,8
234,1. شاهي ابو وليد,9.5,Café,$,0,8
235,2. Aseeb Najdi Restaurant,9.5,Restaurant,$,0,25
236,3. دوّار السّعادة,9.4,Breakfast,$,0,5
237,4. McDonald's,9.4,Fast Food,$$,1,12
238,5. SHiRO,9.3,Japanese,$$$,2,19
239,6. Lavash,9.3,Armenian,$,0,1
240,7. Café Lilou,9.3,French,$,0,15
241,8. Burger Hunch,9.3,Burgers,$$$,2,7
242,9. KAIF,9.3,Café,$,0,8
243,10. Entrecôte Café de Paris,9.3,Swiss,$,0,33
244,11. Red Box,9.2,Restaurant,$,0,25
245,12. White Cafe,9.2,Café,$,0,8
246,13. Al Hatab Bakery,9.2,Bakery,$,0,4
247,14. TF BAKERY,9.2,Bakery,$,0,4
248,15. PICKUP,9.2,Burgers,$,0,7
249,16. Baōdo,9.2,Burgers,$,0,7
250,17. الشاي العراقي,9.2,Food Truck,$,0,14
251,18. SORS,9.1,Bakery,$,0,4
252,19. MUNAT Café,9.1,Café,$,0,8
253,20. TOFAREYA,9.1,Restaurant,$,0,25
254,21. The California Burger,9.1,Burgers,$,0,7
255,22. ALHatab Bakery | أفران الحطب,9.1,Bakery,$,0,4
256,23. SCRMY,9.1,Café,$$,1,8
257,24. Boga,9.1,Salad,$$$$,3,26
258,25. The Coffee Address,9.1,Café,$,0,8
259,26. Key,9.1,Café,$,0,8
260,1. Easy Bakery,9.5,Bakery,$,0,4
261,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
262,3. Biox,9.4,Bakery,$,0,4
263,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
264,5. Ghemar Cafe,9.3,Bakery,$,0,4
265,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
266,7. FISHFACE,9.3,Poke Restaurant,$,0,24
267,8. Hels,9.3,Restaurant,$,0,25
268,9. Urth Caffé,9.2,Café,$,0,8
269,10. Shwkat,9.2,Sandwich Spot,$$,1,27
270,11. BLANCA,9.2,Pizza,$,0,23
271,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
272,13. Never Enough,9.2,Bakery,$,0,4
273,14. ALBAIK,9.2,Fried Chicken,$,0,16
274,15. Offwhite Inn,9.2,Restaurant,$$,1,25
275,16. PrimeCut,9.1,Burgers,$,0,7
276,17. CLAY,9.1,Café,$,0,8
277,18. HATABA,9.0,BBQ,$,0,3
278,19. Dunkin' Donuts,9.0,Donuts,$,0,9
279,20. بَاكر,9.0,Sandwich Spot,$$,1,27
280,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
281,22. Eggsactly,9.0,Breakfast,$,0,5
282,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
283,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
284,25. Al Hatab Bakery,9.0,Bakery,$,0,4
285,1. Easy Bakery,9.5,Bakery,$,0,4
286,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
287,3. Biox,9.4,Bakery,$,0,4
288,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
289,5. Ghemar Cafe,9.3,Bakery,$,0,4
290,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
291,7. FISHFACE,9.3,Poke Restaurant,$,0,24
292,8. Hels,9.3,Restaurant,$,0,25
293,9. Urth Caffé,9.2,Café,$,0,8
294,10. Shwkat,9.2,Sandwich Spot,$$,1,27
295,11. BLANCA,9.2,Pizza,$,0,23
296,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
297,13. Never Enough,9.2,Bakery,$,0,4
298,14. ALBAIK,9.2,Fried Chicken,$,0,16
299,15. Offwhite Inn,9.2,Restaurant,$$,1,25
300,16. PrimeCut,9.1,Burgers,$,0,7
301,17. CLAY,9.1,Café,$,0,8
302,18. HATABA,9.0,BBQ,$,0,3
303,19. Dunkin' Donuts,9.0,Donuts,$,0,9
304,20. بَاكر,9.0,Sandwich Spot,$$,1,27
305,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
306,22. Eggsactly,9.0,Breakfast,$,0,5
307,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
308,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
309,25. Al Hatab Bakery,9.0,Bakery,$,0,4
310,1. Easy Bakery,9.5,Bakery,$,0,4
311,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
312,3. Biox,9.4,Bakery,$,0,4
313,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
314,5. Ghemar Cafe,9.3,Bakery,$,0,4
315,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
316,7. FISHFACE,9.3,Poke Restaurant,$,0,24
317,8. Hels,9.3,Restaurant,$,0,25
318,9. Urth Caffé,9.2,Café,$,0,8
319,10. Shwkat,9.2,Sandwich Spot,$$,1,27
320,11. BLANCA,9.2,Pizza,$,0,23
321,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
322,13. Never Enough,9.2,Bakery,$,0,4
323,14. ALBAIK,9.2,Fried Chicken,$,0,16
324,15. Offwhite Inn,9.2,Restaurant,$$,1,25
325,16. PrimeCut,9.1,Burgers,$,0,7
326,17. CLAY,9.1,Café,$,0,8
327,18. HATABA,9.0,BBQ,$,0,3
328,19. Dunkin' Donuts,9.0,Donuts,$,0,9
329,20. بَاكر,9.0,Sandwich Spot,$$,1,27
330,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
331,22. Eggsactly,9.0,Breakfast,$,0,5
332,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
333,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
334,25. Al Hatab Bakery,9.0,Bakery,$,0,4
335,1. Easy Bakery,9.5,Bakery,$,0,4
336,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
337,3. Biox,9.4,Bakery,$,0,4
338,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
339,5. Ghemar Cafe,9.3,Bakery,$,0,4
340,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
341,7. FISHFACE,9.3,Poke Restaurant,$,0,24
342,8. Hels,9.3,Restaurant,$,0,25
343,9. Urth Caffé,9.2,Café,$,0,8
344,10. Shwkat,9.2,Sandwich Spot,$$,1,27
345,11. BLANCA,9.2,Pizza,$,0,23
346,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
347,13. Never Enough,9.2,Bakery,$,0,4
348,14. ALBAIK,9.2,Fried Chicken,$,0,16
349,15. Offwhite Inn,9.2,Restaurant,$$,1,25
350,16. PrimeCut,9.1,Burgers,$,0,7
351,17. CLAY,9.1,Café,$,0,8
352,18. HATABA,9.0,BBQ,$,0,3
353,19. Dunkin' Donuts,9.0,Donuts,$,0,9
354,20. بَاكر,9.0,Sandwich Spot,$$,1,27
355,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
356,22. Eggsactly,9.0,Breakfast,$,0,5
357,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
358,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
359,25. Al Hatab Bakery,9.0,Bakery,$,0,4
360,1. Easy Bakery,9.5,Bakery,$,0,4
361,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
362,3. Biox,9.4,Bakery,$,0,4
363,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
364,5. Ghemar Cafe,9.3,Bakery,$,0,4
365,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
366,7. FISHFACE,9.3,Poke Restaurant,$,0,24
367,8. Hels,9.3,Restaurant,$,0,25
368,9. Urth Caffé,9.2,Café,$,0,8
369,10. Shwkat,9.2,Sandwich Spot,$$,1,27
370,11. BLANCA,9.2,Pizza,$,0,23
371,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
372,13. Never Enough,9.2,Bakery,$,0,4
373,14. ALBAIK,9.2,Fried Chicken,$,0,16
374,15. Offwhite Inn,9.2,Restaurant,$$,1,25
375,16. PrimeCut,9.1,Burgers,$,0,7
376,17. CLAY,9.1,Café,$,0,8
377,18. HATABA,9.0,BBQ,$,0,3
378,19. Dunkin' Donuts,9.0,Donuts,$,0,9
379,20. بَاكر,9.0,Sandwich Spot,$$,1,27
380,21. Legit Cafe ليجت كافيه,9.0,Café,$,0,8
381,22. Eggsactly,9.0,Breakfast,$,0,5
382,23. Dhifa Resturant,9.0,Middle Eastern,$,0,22
383,24. اسطا عاصم Usta asim,9.0,Shawarma Restaurant,$,0,29
384,25. Al Hatab Bakery,9.0,Bakery,$,0,4
385,1. Easy Bakery,9.5,Bakery,$,0,4
386,2. BAC Bakehouse & Coffee,9.4,Bakery,$,0,4
387,3. Biox,9.4,Bakery,$,0,4
388,4. OREGANO PIZZERIA,9.3,Pizza,$,0,23
389,5. Ghemar Cafe,9.3,Bakery,$,0,4
390,6. Dank Sandwich | دانك ساندوتش,9.3,Sandwich Spot,$,0,27
391,7. FISHFACE,9.3,Poke Restaurant,$,0,24
392,8. Hels,9.3,Restaurant,$,0,25
393,9. Urth Caffé,9.2,Café,$,0,8
394,10. Shwkat,9.2,Sandwich Spot,$$,1,27
395,11. BLANCA,9.2,Pizza,$,0,23
396,12. بيراديز للمأكولات الهنديه | Peradiz,9.2,Indian,$,0,17
397,13. Never Enough,9.2,Bakery,$,0,4
398,14. ALBAIK,9.2,Fried Chicken,$,0,16
399,15. Offwhite Inn,9.2,Restaurant,$$,1,25
400,16. PrimeCut,9.1,Burgers,$,0,7
401,17. CLAY,9.1,Café,$,0,8
402,18. HATABA,9.0,BBQ,$,0,3
403,19. Dunkin' Donuts,9.0,Donuts,$,0,9
404,20. بَاكر,9.0,Sandwich Spot,$$,1,27
